iter	op	class	chunk_bytes	comp	pattern	msgs	payload_bytes	chunks_touched	chunk_fetched_bytes	summary_bytes	raw_fetched	raw_reads	file_size	wall	rss_kb
5	read	jpeg	262144	zstd	range	18	2700000	18	2700558	148887	2850812	3660	268847750	0.000394	5760
1	read	jpeg	262144	zstd	streaming	268	40200000	268	40208308	148887	40378562	4660	268847750	0.004258	5824
2	read	jpeg	262144	zstd	streaming	268	40200000	268	40208308	148887	40378562	4660	268847750	0.004229	5776
3	read	jpeg	262144	zstd	streaming	268	40200000	268	40208308	148887	40378562	4660	268847750	0.003967	5792
4	read	jpeg	262144	zstd	streaming	268	40200000	268	40208308	148887	40378562	4660	268847750	0.004032	5812
5	read	jpeg	262144	zstd	streaming	268	40200000	268	40208308	148887	40378562	4660	268847750	0.003919	5836
1	write	jpeg	786432	zstd	-	1790	268500000	0	0	0	0	0	268637246	0.693468	6216
2	write	jpeg	786432	zstd	-	1790	268500000	0	0	0	0	0	268637246	0.866496	6348
3	write	jpeg	786432	zstd	-	1790	268500000	0	0	0	0	0	268637246	0.834101	6192
1	read	jpeg	786432	zstd	full	1790	268500000	358	268555601	30031	268637047	2156	268637246	0.028795	4764
2	read	jpeg	786432	zstd	full	1790	268500000	358	268555601	30031	268637047	2156	268637246	0.033251	4892
3	read	jpeg	786432	zstd	full	1790	268500000	358	268555601	30031	268637047	2156	268637246	0.028365	4844
4	read	jpeg	786432	zstd	full	1790	268500000	358	268555601	30031	268637047	2156	268637246	0.026190	4856
5	read	jpeg	786432	zstd	full	1790	268500000	358	268555601	30031	268637047	2156	268637246	0.026110	4900
1	read	jpeg	786432	zstd	point	1	150000	1	750155	30031	780193	728	268637246	0.000290	4856
2	read	jpeg	786432	zstd	point	1	150000	1	750155	30031	780193	728	268637246	0.000255	4932
3	read	jpeg	786432	zstd	point	1	150000	1	750155	30031	780193	728	268637246	0.000264	4852
4	read	jpeg	786432	zstd	point	1	150000	1	750155	30031	780193	728	268637246	0.000234	4996
5	read	jpeg	786432	zstd	point	1	150000	1	750155	30031	780193	728	268637246	0.000245	4880
1	read	jpeg	786432	zstd	range	18	2700000	4	3000620	30031	3031090	740	268637246	0.000451	4748
2	read	jpeg	786432	zstd	range	18	2700000	4	3000620	30031	3031090	740	268637246	0.000446	4892
3	read	jpeg	786432	zstd	range	18	2700000	4	3000620	30031	3031090	740	268637246	0.000418	4772
4	read	jpeg	786432	zstd	range	18	2700000	4	3000620	30031	3031090	740	268637246	0.000425	4816
5	read	jpeg	786432	zstd	range	18	2700000	4	3000620	30031	3031090	740	268637246	0.000413	4708
1	read	jpeg	786432	zstd	streaming	268	40200000	54	40508370	30031	40546040	940	268637246	0.004222	4976
2	read	jpeg	786432	zstd	streaming	268	40200000	54	40508370	30031	40546040	940	268637246	0.004139	4880
3	read	jpeg	786432	zstd	streaming	268	40200000	54	40508370	30031	40546040	940	268637246	0.003934	5036
4	read	jpeg	786432	zstd	streaming	268	40200000	54	40508370	30031	40546040	940	268637246	0.003857	4904
5	read	jpeg	786432	zstd	streaming	268	40200000	54	40508370	30031	40546040	940	268637246	0.003929	4940
1	write	jpeg	1048576	zstd	-	1790	268500000	0	0	0	0	0	268628573	0.695111	6368
2	write	jpeg	1048576	zstd	-	1790	268500000	0	0	0	0	0	268628573	0.805238	6308
3	write	jpeg	1048576	zstd	-	1790	268500000	0	0	0	0	0	268628573	0.809501	6516
1	read	jpeg	1048576	zstd	full	1790	268500000	299	268555601	25134	268628422	1802	268628573	0.029608	5308
2	read	jpeg	1048576	zstd	full	1790	268500000	299	268555601	25134	268628422	1802	268628573	0.033879	5156
3	read	jpeg	1048576	zstd	full	1790	268500000	299	268555601	25134	268628422	1802	268628573	0.027731	5172
4	read	jpeg	1048576	zstd	full	1790	268500000	299	268555601	25134	268628422	1802	268628573	0.024598	5160
5	read	jpeg	1048576	zstd	full	1790	268500000	299	268555601	25134	268628422	1802	268628573	0.024202	5256
1	read	jpeg	1048576	zstd	point	1	150000	1	900186	25134	925327	610	268628573	0.000425	5184
2	read	jpeg	1048576	zstd	point	1	150000	1	900186	25134	925327	610	268628573	0.000284	5124
3	read	jpeg	1048576	zstd	point	1	150000	1	900186	25134	925327	610	268628573	0.000280	5096
4	read	jpeg	1048576	zstd	point	1	150000	1	900186	25134	925327	610	268628573	0.000354	5144
5	read	jpeg	1048576	zstd	point	1	150000	1	900186	25134	925327	610	268628573	0.000332	5120
1	read	jpeg	1048576	zstd	range	18	2700000	4	3600744	25134	3626365	622	268628573	0.000484	5120
2	read	jpeg	1048576	zstd	range	18	2700000	4	3600744	25134	3626365	622	268628573	0.000452	5176
3	read	jpeg	1048576	zstd	range	18	2700000	4	3600744	25134	3626365	622	268628573	0.000401	5308
4	read	jpeg	1048576	zstd	range	18	2700000	4	3600744	25134	3626365	622	268628573	0.000481	5156
5	read	jpeg	1048576	zstd	range	18	2700000	4	3600744	25134	3626365	622	268628573	0.000406	5140
1	read	jpeg	1048576	zstd	streaming	268	40200000	46	41408556	25134	41440897	790	268628573	0.003108	5144
2	read	jpeg	1048576	zstd	streaming	268	40200000	46	41408556	25134	41440897	790	268628573	0.002322	5156
3	read	jpeg	1048576	zstd	streaming	268	40200000	46	41408556	25134	41440897	790	268628573	0.002323	5144
4	read	jpeg	1048576	zstd	streaming	268	40200000	46	41408556	25134	41440897	790	268628573	0.002293	5156
5	read	jpeg	1048576	zstd	streaming	268	40200000	46	41408556	25134	41440897	790	268628573	0.002393	5128
1	write	jpeg	4194304	zstd	-	1790	268500000	0	0	0	0	0	268594469	0.702077	12360
2	write	jpeg	4194304	zstd	-	1790	268500000	0	0	0	0	0	268594469	0.858079	12424
3	write	jpeg	4194304	zstd	-	1790	268500000	0	0	0	0	0	268594469	0.818854	12500
1	read	jpeg	4194304	zstd	full	1790	268500000	67	268555601	5878	268594222	410	268594469	0.032498	7792
2	read	jpeg	4194304	zstd	full	1790	268500000	67	268555601	5878	268594222	410	268594469	0.038090	7716
3	read	jpeg	4194304	zstd	full	1790	268500000	67	268555601	5878	268594222	410	268594469	0.031595	7808
4	read	jpeg	4194304	zstd	full	1790	268500000	67	268555601	5878	268594222	410	268594469	0.029889	7900
5	read	jpeg	4194304	zstd	full	1790	268500000	67	268555601	5878	268594222	410	268594469	0.029764	7944
1	read	jpeg	4194304	zstd	point	1	150000	1	4050837	5878	4056722	146	268594469	0.001532	7808
2	read	jpeg	4194304	zstd	point	1	150000	1	4050837	5878	4056722	146	268594469	0.001427	7744
3	read	jpeg	4194304	zstd	point	1	150000	1	4050837	5878	4056722	146	268594469	0.001214	7796
4	read	jpeg	4194304	zstd	point	1	150000	1	4050837	5878	4056722	146	268594469	0.001193	7900
5	read	jpeg	4194304	zstd	point	1	150000	1	4050837	5878	4056722	146	268594469	0.001290	7796
1	read	jpeg	4194304	zstd	range	18	2700000	2	8101674	5878	8108055	150	268594469	0.001647	7732
2	read	jpeg	4194304	zstd	range	18	2700000	2	8101674	5878	8108055	150	268594469	0.001704	7780
3	read	jpeg	4194304	zstd	range	18	2700000	2	8101674	5878	8108055	150	268594469	0.001669	7792
4	read	jpeg	4194304	zstd	range	18	2700000	2	8101674	5878	8108055	150	268594469	0.001674	7720
5	read	jpeg	4194304	zstd	range	18	2700000	2	8101674	5878	8108055	150	268594469	0.001663	7816
1	read	jpeg	4194304	zstd	streaming	268	40200000	11	44559207	5878	44570052	186	268594469	0.005580	7760
2	read	jpeg	4194304	zstd	streaming	268	40200000	11	44559207	5878	44570052	186	268594469	0.005538	7792
3	read	jpeg	4194304	zstd	streaming	268	40200000	11	44559207	5878	44570052	186	268594469	0.005551	7652
4	read	jpeg	4194304	zstd	streaming	268	40200000	11	44559207	5878	44570052	186	268594469	0.005613	7800
5	read	jpeg	4194304	zstd	streaming	268	40200000	11	44559207	5878	44570052	186	268594469	0.003947	7800
1	write	jpeg	8388608	zstd	-	1790	268500000	0	0	0	0	0	268589471	0.707741	20728
2	write	jpeg	8388608	zstd	-	1790	268500000	0	0	0	0	0	268589471	0.829692	20740
3	write	jpeg	8388608	zstd	-	1790	268500000	0	0	0	0	0	268589471	0.806700	20816
1	read	jpeg	8388608	zstd	full	1790	268500000	33	268555601	3056	268588872	206	268589471	0.035327	12128
2	read	jpeg	8388608	zstd	full	1790	268500000	33	268555601	3056	268588872	206	268589471	0.038561	12012
3	read	jpeg	8388608	zstd	full	1790	268500000	33	268555601	3056	268588872	206	268589471	0.031784	11876
4	read	jpeg	8388608	zstd	full	1790	268500000	33	268555601	3056	268588872	206	268589471	0.029669	12060
5	read	jpeg	8388608	zstd	full	1790	268500000	33	268555601	3056	268588872	206	268589471	0.030125	12000
1	read	jpeg	8388608	zstd	point	1	150000	1	8251705	3056	8254768	78	268589471	0.002702	12120
2	read	jpeg	8388608	zstd	point	1	150000	1	8251705	3056	8254768	78	268589471	0.002619	12020
3	read	jpeg	8388608	zstd	point	1	150000	1	8251705	3056	8254768	78	268589471	0.002693	12036
4	read	jpeg	8388608	zstd	point	1	150000	1	8251705	3056	8254768	78	268589471	0.002620	11956
5	read	jpeg	8388608	zstd	point	1	150000	1	8251705	3056	8254768	78	268589471	0.002500	11948
1	read	jpeg	8388608	zstd	range	18	2700000	1	8251705	3056	8254768	78	268589471	0.003510	11984
2	read	jpeg	8388608	zstd	range	18	2700000	1	8251705	3056	8254768	78	268589471	0.002526	12040
3	read	jpeg	8388608	zstd	range	18	2700000	1	8251705	3056	8254768	78	268589471	0.002462	12008
4	read	jpeg	8388608	zstd	range	18	2700000	1	8251705	3056	8254768	78	268589471	0.002494	11968
